SubModelID,SubModelName
1,S
2,GS
3,SX
4,GL
5,GLX
6,GLX Plus
7,JS
8,JS Plus
9,JLX
10,JLX Plus
11,JLS
12,JLS Plus
13,Limited
14,JLS Plus SE
15,JLX Plus SE
16,XL-7
17,XL-7 Plus
18,XL-7 Touring
19,XL-7 Limited
20,Base
21,JA
22,JX
23,JX SE
25,JL
32,JX Sport
33,JLX Sport
34,JS Sport
37,GA
39,GT
45,JX Plus
49,SE
52,Plus
53,Touring
55,Carrera
57,Turbo Carrera
58,SC
59,Carrera 4
60,Speedster
61,Carrera 2
62,RS America
64,Targa
65,Turbo 3.6
66,Carrera 4S
67,Turbo
68,Carrera S
69,GT2
70,E
77,S4
78,GTS
83,S2
86,Roadster
87,Roadster S
92,GLS
96,LS
103,FX
105,L
113,LX
123,Spider
124,SL
125,Custom
128,HPE
129,MK III
130,Series II
131,Series II SD
132,Series II SE
133,Series II LE
134,HSE
135,SE3
136,County
137,County SE
138,Great Divide
139,County LWB
140,County Classic
141,Sport
142,DL
143,GL Turbo
144,X
145,XS
146,Brighton
147,Outback
148,RS
149,TS
150,WRX
151,GT Limited
152,L 30th Anniversary
153,L SE
154,Limited 30th Anniversary
155,SUS 30th Anniversary
156,Alpine Sport
157,Outdoor
158,Sun Sport
159,LSi
160,Outback Limited
161,RS Turbo
162,H6
163,L.L. Bean
164,VDC
165,LSL
166,XT6
167,GL-10 Turbo
168,Quadrifoglio
169,2.5
170,Gold
171,Platinum
172,Silver
173,Verde
174,Veloce
175,Graduate
176,Deluxe
177,CDX
178,CLS
179,CLX
180,CSX
181,CES
182,R
183,Majestic
184,C
185,Sovereign
186,Collection Rouge
187,Classic Collection
188,2+2
189,100
190,Cinco
191,EX
192,GSX
193,Luxus
194,Rallye
195,MT
196,GTA
197,Electronic
198,TL
199,GTL
200,Gordini
201,Sportwagon
202,Anniversary
203,G.T.
204,Magnum
205,Motor Home
206,GLT
207,GLE
208,T
209,T-5
210,T-5R
211,2.4T
212,AWD
213,T5
214,GLT SE
215,2.9
216,T6
217,R AWD
218,X/C
219,X/C AWD
220,X/C AWD SE
221,STI
222,Liberte
223,STX
224,SW8
225,Mi 16
226,Lightweight
227,4.4i
228,3.0i
229,4.6is
230,M Roadster
231,Coupe
232,M Coupe
233,2.5i
234,DLX
236,1 Ton
237,LSE
238,S V6
239,Ltd
240,LP400
241,LP400S
242,LP500S
244,25th Anniversary
245,SE30
246,VT
247,SV
248,VT 6.0
249,VT 6.0 SE
250,S3
251,400GTS
254,P200
255,P250
256,P300
257,Postal
258,Special
259,LXi
260,TSi
261,300
262,Crown
263,LeBaron
264,XE
265,GTC
267,Mark Cross
268,Premium
269,LE
270,Landau
271,Medallion
272,Salon
273,Brougham
274,Classic
275,Dream
276,LX Plus
278,LXi Limited
279,JXi
280,EL
281,ES
282,Special Edition
283,C/V
284,Ec
285,2.2
286,Shelby
287,Premier
288,Vista
289,Vista SE
290,Carousel
291,Vista Custom
292,Crestwood
293,Miser
294,Royal
295,R/T
296,SLT
297,SXT
298,WS
299,Swinger Special
300,Sport 360
301,Swinger
302,ES Turbo
303,Iroc
304,Iroc R/T
305,Pacifica
306,Shelby Z
307,Turbo Z
309,SLT Plus
312,Special Coupe
313,Royal Brougham
314,ACR
315,America
316,GLH
317,024 Charger 2.2
318,24
319,024 Miser
320,E-Type
321,Canyon Sport
322,Royal SE
323,High Line
324,R/T Turbo
325,SE Plus
326,R/T-10
327,SRT-10
328,ESi
329,Golden Eagle
330,Laredo
331,Renegade
332,Golden Hawk
333,Chief
334,Pioneer
335,Wide Track
336,Briarwood
337,Country
338,Eliminator
339,XLS
340,Orvis
342,5.9 Limited
343,Overland
344,SR
345,Islander
346,Sahara
347,Rio Grande
348,Rubicon
349,Expresso
351,360
353,Turismo
354,TC3
358,Style
359,Voyager
360,Duster
361,Scamp
362,Road Runner
366,Indianapolis 500 Pace Car
367,Estate
368,Estate Wagon
369,Olympia Limited
370,T-Type
371,225
373,Park Avenue
374,Park Avenue Ultra
375,Custom Sport
376,Collector's Edition
377,Limited Edition F/E
378,Ultra
379,25th Anniversary Edition
380,GSE
381,Gran Sport
382,GNX
383,Grand National
384,Limited Turbo
385,Olympic Gold Edition
386,CX
387,CX Plus
388,CXL
389,CXL Plus
390,LXXV Anniversary Edition
391,Limited Edition
392,Luxury
393,XX Anniversary Edition
394,Limited Collector's Edition
395,Estate Wagon Collector's Edition
396,Designers' Accent Edition
397,Road Hawk
398,Luxury Edition
399,Value Leader
400,Luxury Sport
401,d'Oro
402,Concours
403,DHS
404,DTS
405,d'Elegance
406,Cabriolet
408,Phaeton
409,Spring Edition
410,Biarritz
411,Bicentenial Edition
412,Brougham d'Elegance
413,ESC
414,ETC
417,EXT
418,75
419,75 Formal
420,Brougham Talisman
421,60 Special
422,60 Special Brougham
423,Formal
424,Elegante
425,Opera
426,SLS
427,STS
428,CL
429,CS
430,LT
431,North Face
432,On Road Edition
434,Z71
435,GTZ
436,Z26
437,Cheyenne
438,Custom Deluxe
439,Scottsdale
440,Silverado
441,Silverado Sport
442,Big Ten
443,454 SS
444,WT
445,HD
446,Berlinetta
447,Iroc-Z
448,LT Rally Sport
449,Rally Sport
450,Z28
451,Z28 Indianapolis 500 Pace Car
453,RS Heritage Edition
454,Z28 SS
456,Z28 Heritage Edition
458,Classic Estate
459,Classic Landau
460,Classic Brougham
461,Classic Sport
462,Classic LS Brougham
463,Classic LS
464,Classic LTZ
465,Cadet
466,LS Sport
467,Type-10
468,VL
469,Z24
470,Olympic
471,Eurosport
472,Diesel
473,Sandpiper
474,Scooter
475,Woody
476,Club
477,X-11
478,LTZ
479,35th Anniversary Edition
480,40th Anniversary Edition
481,50th Anniversary Edition
482,50th Anniversary Edition Pace Car
485,Grand Sport
486,Silver Anniversary Edition
487,Stingray
488,Z06
489,ZR-1
490,Conquista
491,Royal Knight
492,SS
493,Beauville
494,Bonaventure
495,Chevy Van
496,Sportvan
497,Hi-Cube
498,Custom Landau
499,Mighty Mike
500,Mikado
501,Euro
503,Z34
504,Police
505,LS Competition
506,SS 35th Anniversary Edition
507,SS Dale Earnhardt Signature Edition
508,SS High Sport
